时间,东方project,bilibili
2011/01/08,1050,5494
2011/01/15,940,4887
2011/01/22,913,4772
2011/01/29,968,5370
2011/02/05,1001,6339
2011/02/12,1017,8306
2011/02/19,1034,7730
2011/02/26,1023,7916
2011/03/05,922,6854
2011/03/12,952,6699
2011/03/19,931,6643
2011/03/26,885,6539
2011/04/02,891,6679
2011/04/09,922,7770
2011/04/16,1024,8745
2011/04/23,960,8210
2011/04/30,983,8609
2011/05/07,994,9081
2011/05/14,1052,9380
2011/05/21,1071,8178
2011/05/28,1060,8289
2011/06/04,1014,7890
2011/06/11,1056,8727
2011/06/18,1082,11044
2011/06/25,1069,9032
2011/07/02,1061,13690
2011/07/09,1083,9593
2011/07/16,1090,7032
2011/07/23,1098,5834
2011/07/30,1117,5075
2011/08/06,1148,5510
2011/08/13,1230,6925
2011/08/20,1338,6930
2011/08/27,1672,7185
2011/09/03,1412,7758
2011/09/10,1209,7168
2011/09/17,1143,7309
2011/09/24,1178,7246
2011/10/01,1155,6787
2011/10/08,1171,8065
2011/10/15,1266,10891
2011/10/22,1153,8502
2011/10/29,1143,8820
2011/11/05,1130,9600
2011/11/12,1141,10249
2011/11/19,1115,11555
2011/11/26,1181,10541
2011/12/03,1153,10865
2011/12/10,1143,11529
2011/12/17,1113,10846
2011/12/24,1131,10738
2011/12/31,1129,11328
2012/01/07,1186,11424
2012/01/14,1325,13102
2012/01/21,1335,14260
2012/01/28,1404,17570
2012/02/04,1449,19817
2012/02/11,1544,18218
2012/02/18,1393,16208
2012/02/25,1288,15241
2012/03/03,1318,14807
2012/03/10,1363,14097
2012/03/17,1359,15386
2012/03/24,1390,14645
2012/03/31,1375,14206
2012/04/07,1260,14816
2012/04/14,1812,22376
2012/04/21,1421,17692
2012/04/28,1448,17394
2012/05/05,1359,17555
2012/05/12,1796,20910
2012/05/19,1563,17984
2012/05/26,1556,17517
2012/06/02,1647,17178
2012/06/09,1701,17430
2012/06/16,1872,20260
2012/06/23,1744,18893
2012/06/30,1862,20602
2012/07/07,1891,21186
2012/07/14,2092,22995
2012/07/21,2022,24321
2012/07/28,2104,24725
2012/08/04,2210,25051
2012/08/11,2165,24833
2012/08/18,2395,26250
2012/08/25,2895,25610
2012/09/01,2460,24368
2012/09/08,2236,24085
2012/09/15,1596,19114
2012/09/22,1609,19273
2012/09/29,1605,19712
2012/10/06,1521,20187
2012/10/13,2562,31420
2012/10/20,1796,23561
2012/10/27,1734,25205
2012/11/03,1811,23799
2012/11/10,1845,23946
2012/11/17,1706,24001
2012/11/24,1707,24077
2012/12/01,1644,23117
2012/12/08,1708,23843
2012/12/15,1693,24594
2012/12/22,1662,23305
2012/12/29,1671,26066
2013/01/05,1679,25640
2013/01/12,2189,30685
2013/01/19,1904,27258
2013/01/26,1906,31475
2013/02/02,2118,32920
2013/02/09,2470,36546
2013/02/16,2590,53653
2013/02/23,2678,45536
2013/03/02,2505,39877
2013/03/09,1952,26813
2013/03/16,1816,25829
2013/03/23,1802,25806
2013/03/30,1886,26003
2013/04/06,1865,26587
2013/04/13,2153,32990
2013/04/20,1818,29429
2013/04/27,1866,30963
2013/05/04,1618,29322
2013/05/11,2516,47635
2013/05/18,2137,37095
2013/05/25,2029,36684
2013/06/01,2208,34545
2013/06/08,2544,44279
2013/06/15,2279,48823
